"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"A2M",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AAAS",1,2,1,1,1,0.502863467225993,-0.991761348721336,0
"AACS",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AAK1",2,5,2,3,0.452061316994495,0.40126146282924,-1.31738548861956,0.34480265406855
"AAMDC",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AAMP",2,3,2,3,1,0.670371393191425,-0.576967508769896,0
"AASDH",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AASDHPPT",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AASS",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"AATF",2,3,2,2,1,0.670371393191425,-0.576967508769896,0
"ABCA5",3,5,2,5,0.725852687298256,0.602584324446837,-0.730764951554989,0.139151510959903
"ABCA7",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABCB1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABCB10",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ABCB6",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABCB7",5,4,4,3,0.752452043216707,1.25976653668211,0.333156394376876,0.123521174179362
"ABCB8",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABCC10",4,5,4,4,1,0.804360345871935,-0.314086134855305,0
"ABCC5",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABCD4",3,2,2,2,0.686063853576589,1.51150662577839,0.595987303118233,0.163635461603138
"ABCE1",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ABCF3",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABHD11",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABHD13",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABHD14A;ABHD14A-ACY1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABHD16A",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABHD17A",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABHD3",1,6,1,5,0.12415070769079,0.166827419986794,-2.58357166325208,0.906050800512727
"ABHD5",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
