"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"A2M",9,7,3,3,0.626190863083596,1.29750513750086,0.375740250978023,0.203293273578455
"A2M-AS1",3,0,3,0,0.123525410204266,Inf,Inf,0.908243695227225
"A4GALT",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AAAS",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AAK1",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AAMDC",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AAMP",3,2,3,1,0.686063853576589,1.51150662577839,0.595987303118233,0.163635461603138
"AAR2",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"AARS",2,2,2,2,1,1.00660973632977,0.00950445733523746,0
"AASDHPPT",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AASS",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AATF",3,1,3,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"ABCA2",1,3,1,2,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"ABCA5",3,2,3,2,0.686063853576589,1.51150662577839,0.595987303118233,0.163635461603138
"ABCA7",3,1,2,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"ABCA8",1,6,1,3,0.12415070769079,0.166827419986794,-2.58357166325208,0.906050800512727
"ABCA9",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABCB10",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABCB7",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ABCB9",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABCC1",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ABCC10",2,2,2,2,1,1.00660973632977,0.00950445733523746,0
"ABCC4",1,2,1,1,1,0.502863467225993,-0.991761348721336,0
"ABCD1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABCD3",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABCD4",2,2,2,2,1,1.00660973632977,0.00950445733523746,0
"ABCE1",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ABCG1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABHD10",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABHD13",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABHD14A-ACY1;ACY1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABHD14B",3,0,2,0,0.123525410204266,Inf,Inf,0.908243695227225
"ABHD15",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABHD17B",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABHD3",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ABI1",4,1,3,1,0.216600222965284,4.03892092910595,2.01396990234123,0.664341100653714
"ABI3",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABI3BP",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABL1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABLIM1",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ABLIM3",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABT1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABTB1",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ACAA1",3,1,2,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"ACAA2",3,0,3,0,0.123525410204266,Inf,Inf,0.908243695227225
"ACACB",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ACAD10",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ACAD11",2,0,1,0,0.24819457420672,Inf,Inf,0.605207716865645
"ACAD8",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ACADM",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ACADVL",5,10,3,5,0.299376515983413,0.500222372298712,-0.999358511813464,0.523782270054509
"ACAP1",10,1,7,1,0.00603595811337348,10.1753769025896,3.34701032873281,2.2192537826794
"ACAP2",5,1,4,1,0.123160627939643,5.05507106684412,2.33773137443549,0.909528105494506
"ACAT2",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ACBD3",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ACBD5",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ACD",1,4,1,3,0.374190362517327,0.250875782283238,-1.99495488466713,0.426907402189948
