"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"A2M",1,0,1,0,1,Inf,Inf,0
"AAAS",1,2,1,1,1,1,0,0
"AACS",1,0,1,0,1,Inf,Inf,0
"AAK1",2,5,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"AAMDC",1,0,1,0,1,Inf,Inf,0
"AAMP",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"AASDH",1,1,1,1,1,1,0,0
"AASDHPPT",1,1,1,1,1,1,0,0
"AASS",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AATF",2,3,2,2,1,1,0,4.82163733276644e-17
"ABCA5",3,5,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ABCA7",1,1,1,1,1,1,0,0
"ABCB1",1,0,1,0,1,Inf,Inf,0
"ABCB10",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ABCB6",1,0,1,0,1,Inf,Inf,0
"ABCB7",5,4,4,3,1,1.61371647991769,0.690387128214865,0
"ABCB8",1,1,1,1,1,1,0,0
"ABCC10",4,5,4,4,1,1,0,0
"ABCC5",1,0,1,0,1,Inf,Inf,0
"ABCD4",3,2,2,2,1,1,0,4.82163733276644e-17
"ABCE1",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ABCF3",1,0,1,0,1,Inf,Inf,0
"ABHD11",1,1,1,1,1,1,0,0
"ABHD13",1,0,1,0,1,Inf,Inf,0
"ABHD14A;ABHD14A-ACY1",1,1,1,1,1,1,0,0
"ABHD16A",1,1,1,1,1,1,0,0
"ABHD17A",1,0,1,0,1,Inf,Inf,0
"ABHD3",1,6,1,5,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ABHD5",1,0,1,0,1,Inf,Inf,0
"ABI1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ABLIM1",1,4,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ABT1",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"ABTB1",1,5,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ACAA1",1,0,1,0,1,Inf,Inf,0
"ACACA",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ACAD10",3,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ACAD11",1,1,1,1,1,1,0,0
"ACAD8",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ACAD9",1,4,1,2,1,0.451603012346455,-1.1468729854753,0
"ACADVL",7,6,5,5,1,1,0,4.82163733276644e-17
"ACAP1",13,11,6,6,1,1,0,4.82163733276644e-17
"ACAP2",4,4,4,4,1,1,0,0
"ACAT2",1,1,1,1,1,1,0,0
"ACBD6",1,0,1,0,1,Inf,Inf,0
"ACCS",1,1,1,1,1,1,0,0
"ACIN1",7,5,4,3,1,1.61371647991769,0.690387128214865,0
"ACLY",2,2,2,2,1,1,0,4.82163733276644e-17
