"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"A2M",9,7,3,3,1,1,0,4.82163733276644e-17
"A2M-AS1",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"A4GALT",1,1,1,1,1,1,0,0
"AAAS",1,0,1,0,1,Inf,Inf,0
"AAK1",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AAMDC",1,0,1,0,1,Inf,Inf,0
"AAMP",3,2,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"AAR2",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"AARS",2,2,2,2,1,1,0,4.82163733276644e-17
"AASDHPPT",1,0,1,0,1,Inf,Inf,0
"AASS",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AATF",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"ABCA2",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"ABCA5",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"ABCA7",3,1,2,1,1,2.21433421093488,1.1468729854753,0
"ABCA8",1,6,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ABCA9",1,1,1,1,1,1,0,0
"ABCB10",1,0,1,0,1,Inf,Inf,0
"ABCB7",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ABCB9",1,1,1,1,1,1,0,0
"ABCC1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ABCC10",2,2,2,2,1,1,0,4.82163733276644e-17
"ABCC4",1,2,1,1,1,1,0,0
"ABCD1",1,0,1,0,1,Inf,Inf,0
"ABCD3",1,1,1,1,1,1,0,0
"ABCD4",2,2,2,2,1,1,0,4.82163733276644e-17
"ABCE1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ABCG1",1,1,1,1,1,1,0,0
"ABHD10",1,0,1,0,1,Inf,Inf,0
"ABHD13",1,1,1,1,1,1,0,0
"ABHD14A-ACY1;ACY1",1,0,1,0,1,Inf,Inf,0
"ABHD14B",3,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ABHD15",1,0,1,0,1,Inf,Inf,0
"ABHD17B",1,0,1,0,1,Inf,Inf,0
"ABHD3",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ABI1",4,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"ABI3",1,1,1,1,1,1,0,0
"ABI3BP",1,0,1,0,1,Inf,Inf,0
"ABL1",1,1,1,1,1,1,0,0
"ABLIM1",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ABLIM3",1,0,1,0,1,Inf,Inf,0
"ABT1",1,1,1,1,1,1,0,0
"ABTB1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ACAA1",3,1,2,1,1,2.21433421093488,1.1468729854753,0
"ACAA2",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"ACACB",1,0,1,0,1,Inf,Inf,0
"ACAD10",1,0,1,0,1,Inf,Inf,0
"ACAD11",2,0,1,0,1,Inf,Inf,0
"ACAD8",1,0,1,0,1,Inf,Inf,0
"ACADM",1,1,1,1,1,1,0,0
"ACADVL",5,10,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"ACAP1",10,1,7,1,0.0101010101010101,31.6066054163625,4.98215419144073,1.99563519459755
"ACAP2",5,1,4,1,0.282051282051282,6.15667160832438,2.62215061846743,0.549671921868275
"ACAT2",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ACBD3",1,0,1,0,1,Inf,Inf,0
"ACBD5",1,0,1,0,1,Inf,Inf,0
"ACD",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ACIN1",1,1,1,1,1,1,0,0
"ACLY",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ACO1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ACOT2",1,1,1,1,1,1,0,0
"ACOT9",1,0,1,0,1,Inf,Inf,0
"ACOX1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ACP5",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ACP6",1,0,1,0,1,Inf,Inf,0
"ACSL1",1,0,1,0,1,Inf,Inf,0
"ACSL3",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ACSL4",1,0,1,0,1,Inf,Inf,0
