"Gene","HRGeneName","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ENSG00000000419","DPM1",12,22,6,8,0.482883163758318,0.728425102162965,-0.457147455189276,0.316157936480634
"ENSG00000000457","SCYL3",17,33,6,8,0.244288121351951,0.683936482099164,-0.548065748161602,0.612097650327929
"ENSG00000000460","C1orf112",49,88,6,8,0.100411556232885,0.725756242191827,-0.462443019436782,0.998216301938426
"ENSG00000000938","FGR",8,7,1,4,0.438788074543713,1.54507298564518,0.627674989289102,0.357745184265602
"ENSG00000001036","FUCA2",15,28,6,7,0.34816797856863,0.713491952290056,-0.487030937725503,0.458211173972383
"ENSG00000001084","GCLC",4,9,3,5,0.574783586263391,0.595445653362416,-0.747958256323554,0.240495642237562
"ENSG00000001167","NFYA",19,45,6,7,0.0376452702875113,0.55343703208034,-0.853508912791364,1.42428958034153
"ENSG00000001460","STPG1",10,22,6,6,0.209153398613225,0.604918760712955,-0.725186690328698,0.679535074009588
"ENSG00000001461","NIPAL3",76,159,6,8,0.000468946950644244,0.588224713754902,-0.765560695799016,3.3288762838213
"ENSG00000001497","LAS1L",29,69,5,8,0.00771778381762599,0.54239594129761,-0.882581711936186,2.11250739059062
"ENSG00000001561","ENPP4",2,8,1,4,0.203816785706256,0.334312828140861,-1.58072938025473,0.690760051735846
"ENSG00000001629","ANKIB1",42,65,6,8,0.477400278608509,0.859174369159664,-0.218977139317524,0.321117331877017
"ENSG00000001630","CYP51A1",19,15,6,8,0.117774007511737,1.7281907559843,0.789262469540563,0.92895054689862
"ENSG00000001631","KRIT1",21,60,6,8,0.00164405629274046,0.450900587269724,-1.14911870589093,2.78408331623149
"ENSG00000002016","RAD52",58,106,6,8,0.0522077046871424,0.70645083805524,-0.501338928046067,1.28226540013579
"ENSG00000002330","BAD",23,23,5,7,0.362830680311582,1.3599567838807,0.443560806864135,0.44029599689676
"ENSG00000002549","LAP3",28,56,6,8,0.0870801026720155,0.656046304922475,-0.608130448451931,1.06008106757463
"ENSG00000002586","CD99",113,252,6,8,1.16016821552565e-07,0.504961904991543,-0.98575354178103,6.93547903682645
"ENSG00000002726","AOC1",2,0,2,0,0.181561126292028,Inf,Inf,0.74097713182864
"ENSG00000002745","WNT16",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000002746","HECW1",1,2,1,1,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000002822","MAD1L1",86,165,6,8,0.00291765313671122,0.648204244289889,-0.62547962777075,2.53496634018978
"ENSG00000002834","LASP1",67,111,6,8,0.166240569613648,0.787239987555655,-0.345124591203288,0.779262981699553
"ENSG00000002919","SNX11",25,37,6,8,0.792886921193227,0.905095556574113,-0.14385798035116,0.100788745852067
"ENSG00000002933","TMEM176A",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000003056","M6PR",82,162,6,8,0.00161039780348613,0.627455572998159,-0.672414782253106,2.79306683047814
"ENSG00000003137","CYP26B1",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
