"Gene","HRGeneName","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ENSG00000000419","DPM1",12,22,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000000457","SCYL3",17,33,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000000460","C1orf112",49,88,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000000938","FGR",8,7,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ENSG00000001036","FUCA2",15,28,6,7,1,0.451603012346455,-1.1468729854753,0
"ENSG00000001084","GCLC",4,9,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"ENSG00000001167","NFYA",19,45,6,7,1,0.451603012346455,-1.1468729854753,0
"ENSG00000001460","STPG1",10,22,6,6,1,1,0,4.82163733276644e-17
"ENSG00000001461","NIPAL3",76,159,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000001497","LAS1L",29,69,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000001561","ENPP4",2,8,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ENSG00000001629","ANKIB1",42,65,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000001630","CYP51A1",19,15,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000001631","KRIT1",21,60,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000002016","RAD52",58,106,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000002330","BAD",23,23,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000002549","LAP3",28,56,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000002586","CD99",113,252,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000002726","AOC1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ENSG00000002745","WNT16",1,0,1,0,1,Inf,Inf,0
"ENSG00000002746","HECW1",1,2,1,1,1,1,0,0
"ENSG00000002822","MAD1L1",86,165,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000002834","LASP1",67,111,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000002919","SNX11",25,37,6,8,0.466666666666667,0,-Inf,0.330993219041424
