"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"A2M",3,0,1,0,0.123525410204266,Inf,Inf,0.908243695227225
"AAAS",7,5,4,3,0.578389051975398,1.41272435267502,0.498479997998146,0.237779936169389
"AACS",1,3,1,2,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"AAGAB",3,2,2,2,0.686063853576589,1.51150662577839,0.595987303118233,0.163635461603138
"AAK1",6,14,5,7,0.112972020326361,0.427066659886863,-1.22746682039911,0.947029104503374
"AAMDC",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AAMP",9,11,4,6,0.822652752162674,0.821566150852974,-0.283551352134051,0.0847834450352109
"AAR2",7,7,4,4,1,1.00665374851993,0.00956753518765999,0
"AARS",5,9,4,7,0.421805630435886,0.556505587189357,-0.845531922917765,0.374887627415604
"AARS2",4,4,3,3,1,1.00662727114879,0.00952958840162954,0
"AARSD1;PTGES3L-AARSD1",3,5,2,3,0.725852687298256,0.602584324446837,-0.730764951554989,0.139151510959903
"AASDH",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"AASDHPPT",5,7,4,5,0.773533954240531,0.717289806527153,-0.479371966245789,0.111520618208112
"AASS",4,1,3,1,0.216600222965284,4.03892092910595,2.01396990234123,0.664341100653714
"AATF",5,9,3,6,0.421805630435886,0.556505587189357,-0.845531922917765,0.374887627415604
"ABAT",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ABCA1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABCA2",3,5,2,4,0.725852687298256,0.602584324446837,-0.730764951554989,0.139151510959903
"ABCA5",5,6,5,4,1,0.837858382983901,-0.255221678447674,0
"ABCA7",13,11,5,6,0.686802168628716,1.19278279327863,0.25433135100475,0.163168342191963
"ABCB1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABCB10",3,0,3,0,0.123525410204266,Inf,Inf,0.908243695227225
"ABCB6",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABCB7",7,7,5,4,1,1.00665374851993,0.00956753518765999,0
"ABCB8",2,3,2,2,1,0.670371393191425,-0.576967508769896,0
"ABCC1",4,8,2,5,0.385811818943599,0.500885273674567,-0.997447898761675,0.413624472328822
"ABCC10",13,12,6,6,0.843280854106336,1.09197745516447,0.126943070856503,0.0740277598061355
"ABCC12",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABCC2",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ABCD2",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABCD3",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABCD4",5,8,4,5,0.579420200732414,0.626852951608544,-0.673801042395915,0.237006367755514
"ABCE1",3,4,3,3,1,0.754114950562894,-0.407143643055342,0
"ABCF1",7,10,4,6,0.627125458941188,0.702029140298129,-0.510397178757718,0.202645568139911
"ABCF2",3,3,3,2,1,1.00661849212498,0.0095170062774283,0
"ABCF3",5,3,3,3,0.505372888261834,1.68158600410633,0.749822566866094,0.296388060386242
"ABCG1",2,3,1,2,1,0.670371393191425,-0.576967508769896,0
"ABHD10",1,3,1,2,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"ABHD11",3,2,3,2,0.686063853576589,1.51150662577839,0.595987303118233,0.163635461603138
"ABHD13",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABHD14A",1,4,1,3,0.374190362517327,0.250875782283238,-1.99495488466713,0.426907402189948
"ABHD14A;ABHD14A-ACY1",5,5,3,3,1,1.00663607349377,0.00954220383962694,0
"ABHD14B",5,5,4,5,1,1.00663607349377,0.00954220383962694,0
"ABHD16A",5,6,4,3,1,0.837858382983901,-0.255221678447674,0
"ABHD16B",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ABHD17A",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABHD17B",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ABHD18",2,0,1,0,0.24819457420672,Inf,Inf,0.605207716865645
"ABHD2",5,1,2,1,0.123160627939643,5.05507106684412,2.33773137443549,0.909528105494506
"ABHD3",6,15,4,8,0.076346724946769,0.398081481098613,-1.32886433661718,1.11720958818258
"ABHD4",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ABHD5",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABHD6",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ABI1",7,16,4,5,0.0907191556048292,0.43539422350264,-1.19960582787428,1.04230100075573
"ABI2",3,4,2,4,1,0.754114950562894,-0.407143643055342,0
"ABI3",4,2,4,2,0.450818825649812,2.01765860391765,1.01268208519664,0.345997956634091
"ABL1",1,3,1,3,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"ABLIM1",13,23,7,7,0.127978284985879,0.561635901288678,-0.832292935320965,0.892863714030654
"ABR",5,8,4,5,0.579420200732414,0.626852951608544,-0.673801042395915,0.237006367755514
"ABRACL",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ABRAXAS1",2,4,2,4,0.686892181139712,0.502205814176944,-0.993649363697927,0.163111427148394
"ABT1",11,8,5,6,0.499465863833806,1.38942104353212,0.474483853004704,0.30149418842942
"ABTB1",12,20,5,7,0.210532144389984,0.597789507652867,-0.742290519701429,0.676681585978373
"ACAA1",3,12,2,6,0.034297058250321,0.248892993287172,-2.00640247803621,1.46474312894971
"ACAA2",8,3,5,3,0.143364948328883,2.70068977237503,1.43332792731045,0.843557017483564
"ACACA",4,5,3,4,1,0.804360345871935,-0.314086134855305,0
"ACACB",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ACAD10",5,9,3,6,0.421805630435886,0.556505587189357,-0.845531922917765,0.374887627415604
"ACAD11",5,3,4,3,0.505372888261834,1.68158600410633,0.749822566866094,0.296388060386242
"ACAD8",3,4,3,3,1,0.754114950562894,-0.407143643055342,0
"ACAD9",7,8,4,2,1,0.879735034647026,-0.184859027684698,4.82163733276644e-17
"ACADM",2,5,1,3,0.452061316994495,0.40126146282924,-1.31738548861956,0.34480265406855
"ACADS",4,5,3,4,1,0.804360345871935,-0.314086134855305,0
"ACADSB",1,2,1,1,1,0.502863467225993,-0.991761348721336,0
"ACADVL",15,26,6,7,0.112408556170511,0.572473690822862,-0.8047187020997,0.949200630437645
"ACAP1",34,50,8,8,0.0918481988306617,0.669847922136639,-0.578094502127707,1.03692935591315
"ACAP2",11,21,5,8,0.106504533587642,0.520523482912922,-0.941964844104639,0.972631905181205
"ACAP3",2,3,2,3,1,0.670371393191425,-0.576967508769896,0
"ACAT1",2,2,1,2,1,1.00660973632977,0.00950445733523746,0
"ACAT2",5,4,3,4,0.752452043216707,1.25976653668211,0.333156394376876,0.123521174179362
"ACBD3",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ACBD4",2,2,1,2,1,1.00660973632977,0.00950445733523746,0
"ACBD5",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ACBD6",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ACCS",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ACD",4,7,3,5,0.547362708650654,0.573152516536061,-0.803009002027573,0.261724794026592
"ACIN1",23,24,8,6,1,0.963562470667374,-0.0535498910540838,4.82163733276644e-17
"ACKR3",1,2,1,1,1,0.502863467225993,-0.991761348721336,0
"ACLY",8,18,4,7,0.0730816824169693,0.441705623648068,-1.17884289448228,1.13619146329
"ACMSD",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ACO1",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ACO2",7,6,5,5,0.789013314747805,1.17586115820644,0.233717721575365,0.102915667927831
"ACOT13;TDP2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ACOT2",4,8,3,5,0.385811818943599,0.500885273674567,-0.997447898761675,0.413624472328822
"ACOT8",3,5,3,3,0.725852687298256,0.602584324446837,-0.730764951554989,0.139151510959903
"ACOT9",1,8,1,4,0.0385177657932726,0.124799031608585,-3.00232135539003,1.41433891188482
"ACOX1",1,3,1,3,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"ACOX3",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ACP1",5,5,4,5,1,1.00663607349377,0.00954220383962694,0
"ACP2",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ACP5",8,5,4,4,0.420549748490721,1.61655414207923,0.69292182741522,0.376182622417667
"ACP6",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ACSF2",2,1,1,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ACSF3",7,6,5,4,0.789013314747805,1.17586115820644,0.233717721575365,0.102915667927831
"ACSL1",3,1,2,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"ACSL5",7,6,4,4,0.789013314747805,1.17586115820644,0.233717721575365,0.102915667927831
"ACSM3",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ACSS1",5,5,2,3,1,1.00663607349377,0.00954220383962694,0
"ACTA2",10,5,7,5,0.206517597591758,2.02581878457557,1.01850512661337,0.685042935720067
"ACTB",51,58,7,8,0.551290388718661,0.876899319726651,-0.189516884223252,0.258619579011454
"ACTG1",83,106,8,8,0.0874214172793316,0.762278002903122,-0.391610850101799,1.05838215699069
"ACTL6A",4,4,3,4,1,1.00662727114879,0.00952958840162954,0
"ACTN1",3,18,2,5,0.00138852125239203,0.16462074293362,-2.60278196178881,2.85744746864981
"ACTN4",24,34,7,8,0.228104878588507,0.701239944359795,-0.512019916975232,0.641865426159517
"ACTR10",4,6,4,4,0.753106931991266,0.66949701992946,-0.578850461059298,0.123143354906026
"ACTR1A",3,4,3,2,1,0.754114950562894,-0.407143643055342,0
"ACTR1B",7,9,4,5,0.802595831204158,0.781013103648247,-0.356581341129898,0.0955031003830575
"ACTR2",8,12,5,7,0.500625152913753,0.667734283960604,-0.582653979427834,0.300487333918326
"ACTR3",13,15,6,6,0.849182840889602,0.870236706366786,-0.200520224209244,0.0709987900385994
"ACTR3C",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
