"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"A2M",3,0,1,0,1,Inf,Inf,0
"AAAS",7,5,4,3,1,1.61371647991769,0.690387128214865,0
"AACS",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"AAGAB",3,2,2,2,1,1,0,4.82163733276644e-17
"AAK1",6,14,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"AAMDC",1,0,1,0,1,Inf,Inf,0
"AAMP",9,11,4,6,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"AAR2",7,7,4,4,1,1,0,0
"AARS",5,9,4,7,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"AARS2",4,4,3,3,1,1,0,4.82163733276644e-17
"AARSD1;PTGES3L-AARSD1",3,5,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"AASDH",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"AASDHPPT",5,7,4,5,1,0.619687542666112,-0.690387128214864,0
"AASS",4,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"AATF",5,9,3,6,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ABAT",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ABCA1",1,1,1,1,1,1,0,0
"ABCA2",3,5,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ABCA5",5,6,5,4,1,1.61371647991769,0.690387128214865,0
"ABCA7",13,11,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ABCB1",1,0,1,0,1,Inf,Inf,0
"ABCB10",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"ABCB6",1,0,1,0,1,Inf,Inf,0
"ABCB7",7,7,5,4,1,1.61371647991769,0.690387128214865,0
"ABCB8",2,3,2,2,1,1,0,4.82163733276644e-17
"ABCC1",4,8,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ABCC10",13,12,6,6,1,1,0,4.82163733276644e-17
