"p_val","avg_logFC","pct.1","pct.2","p_val_adj","Feature","NegLogP"
5.71340550371853e-24,-0.914613440880569,0.934,0.961,3.30606209472673e-19,"ENSG00000198712-MT-CO2",23.2431049511928
4.36353333558084e-17,-0.267688239955519,0.666,0.735,2.52495856463385e-12,"ENSG00000109686-SH3D19",16.3601617018553
1.62799045963842e-16,0.609775959396193,0.385,0.147,9.42036679469772e-12,"ENSG00000271204-RP11-138A9.1",15.7883481444951
5.14961798664389e-16,-0.847330033693069,0.936,0.958,2.97982644797149e-11,"ENSG00000143443-C1orf56",15.2882249869678
4.77680110196864e-15,-0.718200704284964,0.873,0.882,2.76409595765415e-10,"ENSG00000164587-RPS14",14.3208628416381
6.21141226003335e-15,-0.484532092458211,0.95,0.983,3.5942337042683e-10,"ENSG00000100316-RPL3",14.2068096450717
2.78356972685589e-13,-0.955218143270083,0.969,0.966,1.61071262244516e-08,"ENSG00000169045-HNRNPH1",12.5553978953883
7.13743468362695e-13,-0.352430059954505,0.975,0.966,4.13007657968074e-08,"ENSG00000205542-TMSB4X",12.1464578530607
1.3026971331428e-12,-0.619086094591196,0.947,0.921,7.53805696093078e-08,"ENSG00000212907-MT-ND4L",11.8851565426097
3.15697657491576e-12,-0.645830721706199,0.886,0.872,1.826784495075e-07,"ENSG00000109475-RPL34",11.5007286406046
5.11746922368019e-12,-0.565498228324702,0.944,0.961,2.96122356628254e-07,"ENSG00000197622-CDC42SE1",11.2909447604927
5.83346774175867e-12,-0.378996238806135,1,0.993,3.37553610876865e-07,"ENSG00000251562-MALAT1",11.2340731993765
7.22982440162136e-12,0.399443677132098,0.398,0.194,4.1835378899982e-07,"ENSG00000128016-ZFP36",11.140872250746
9.88572335758414e-12,0.288885500721954,0.613,0.366,5.72037382086606e-07,"ENSG00000213402-PTPRCAP",11.0049915470166
4.34132102202663e-11,0.679296562516681,0.264,0.096,2.51210540939571e-06,"ENSG00000113575-PPP2CA",10.3623780987639
8.41936441389344e-11,0.430861259781103,0.458,0.26,4.87186521809944e-06,"ENSG00000152518-ZFP36L2",10.0747206925808
1.02392969192961e-10,0.418453775312845,0.833,0.705,5.92496916235066e-06,"ENSG00000167658-EEF2",9.98972986314076
1.07531204651239e-10,0.264739683307047,0.699,0.491,6.22229315714396e-06,"ENSG00000196405-EVL",9.96846548885244
2.02249864548205e-10,0.341802627902913,0.633,0.41,1.17031884120819e-05,"ENSG00000128340-RAC2",9.69411176057347
7.71729878738425e-10,-0.493728710699844,0.993,1,4.46561494331989e-05,"ENSG00000225840-AC010970.2",9.11253468502927
8.09756750715938e-10,0.535679925031894,0.455,0.27,4.68565743801777e-05,"ENSG00000166750-SLFN5",9.09164542271086
1.21734428603981e-09,-0.375058300604551,0.61,0.636,7.04416271116935e-05,"ENSG00000197728-RPS26",8.91458657839964
4.62713912566257e-09,-0.404355805631825,0.866,0.892,0.000267749405506464,"ENSG00000145425-RPS3A",8.33468744223359
5.73594299914860e-09,-0.301636348824275,0.585,0.622,0.000331910341645733,"ENSG00000196656-AC004057.1",8.24139517311401
6.44001480576234e-09,0.308419885810379,0.385,0.209,0.000372651456735438,"ENSG00000127152-BCL11B",8.19111313418468
1.54106314037551e-08,0.330087824799588,0.747,0.553,0.000891736186178287,"ENSG00000076928-ARHGEF1",7.81217956702142
4.77904760436211e-08,-0.382563927402078,0.845,0.806,0.00276539589626413,"ENSG00000105640-RPL18A",7.32065864342589
5.32254539001635e-08,0.382804155395725,0.46,0.285,0.00307989088993296,"ENSG00000167895-TMC8",7.2738806262636
5.38802921917319e-08,0.323284237306896,0.64,0.464,0.00311778310767456,"ENSG00000152601-MBNL1",7.2685700577725
5.96939470222293e-08,0.376557181247337,0.476,0.302,0.0034541902444413,"ENSG00000156976-EIF4A2",7.22406970418252
1.04342056531216e-07,0.387156814651154,0.597,0.43,0.00603775310117881,"ENSG00000173821-RNF213",6.98154060779615
