"p_val","avg_logFC","pct.1","pct.2","p_val_adj","Feature","NegLogP"
3.09188919731168e-22,1.31204831253072,0.695,0.337,1.7891216840244e-17,"ENSG00000128016-ZFP36",21.5097760780973
4.57841557369208e-15,0.580835234387862,0.684,0.396,2.64930017171692e-10,"ENSG00000196154-S100A4",14.3392847898244
1.07605981987595e-13,0.855500808183893,0.518,0.229,6.22662014771218e-09,"ENSG00000179820-MYADM",12.9681635848779
5.17072521513606e-13,0.934701519358326,0.276,0.059,2.99204014573848e-08,"ENSG00000144655-CSRNP1",12.2864485410755
9.0678765835712e-13,0.799173459584895,0.493,0.223,5.24712678508347e-08,"ENSG00000153234-NR4A2",12.0424943993791
1.40411816785377e-12,1.16184183313731,0.312,0.087,8.12492977828584e-08,"ENSG00000130844-ZNF331",11.8525963412893
2.85315883190127e-12,0.340925283347467,0.875,0.644,1.65098035807967e-07,"ENSG00000211459-MT-RNR1",11.5446740510214
1.90079585850764e-11,0.705677898117036,0.489,0.235,1.09989552352545e-06,"ENSG00000271204-RP11-138A9.1",10.7210645229474
4.44397817727321e-11,0.867203210555143,0.599,0.319,2.57150797227914e-06,"ENSG00000160789-LMNA",10.3522280823849
7.04040736065269e-11,0.45468103354856,0.879,0.737,4.07393171924168e-06,"ENSG00000206503-HLA-A",10.1524022116867
7.81196616245054e-11,0.549047302571171,0.603,0.334,4.520394219902e-06,"ENSG00000167615-LENG8",10.1072396465277
9.54195105939607e-11,0.452248073008858,0.688,0.409,5.52144998051953e-06,"ENSG00000092199-HNRNPC",10.0203628152649
1.95120592509262e-10,0.994982462169702,0.471,0.241,1.12906530855484e-05,"ENSG00000090104-RGS1",9.70969689390019
2.11043099411851e-10,1.40222359156339,0.404,0.192,1.22120089474668e-05,"ENSG00000170345-FOS",9.67562884363442
2.55680900212542e-10,0.659306453286796,0.544,0.3,1.47949752907987e-05,"ENSG00000059804-SLC2A3",9.59230171328033
4.15497173346171e-10,0.825092938179147,0.526,0.288,2.40427439356762e-05,"ENSG00000118503-TNFAIP3",9.38143192640294
1.26403803294494e-09,0.640567478696476,0.393,0.17,7.31435607763591e-05,"ENSG00000109452-INPP4B",8.89823985860931
1.35646499770277e-09,0.496289962668222,0.621,0.375,7.84918470920709e-05,"ENSG00000158710-TAGLN2",8.86759140831644
1.77498355503063e-09,0.329961679260566,0.926,0.873,0.000102709423411848,"ENSG00000156508-EEF1A1",8.75080566626665
3.33081129889741e-09,0.513990319808106,0.265,0.084,0.000192737395810699,"ENSG00000104852-SNRNP70",8.47744997078194
8.84115212756577e-09,0.781302929613437,0.283,0.102,0.000511593267861593,"ENSG00000179094-PER1",8.05349113656604
1.65832643865975e-08,0.776338905160476,0.393,0.186,0.000959590593730465,"ENSG00000110848-CD69",7.78032997526098
2.50058614278258e-08,0.28090051919865,0.684,0.44,0.00144696417152114,"ENSG00000197756-RPL37A",7.60195817983228
2.84980364585391e-08,0.608395470865773,0.474,0.272,0.00164903887967336,"ENSG00000087074-PPP1R15A",7.54518506225811
3.00859279151937e-08,0.284941307809539,0.265,0.09,0.00174092221881268,"ENSG00000153944-MSI2",7.5216365893831
3.17143868803536e-08,0.33783370099823,0.338,0.146,0.00183515299683166,"ENSG00000122218-COPA",7.49874368020071
3.24978049699402e-08,0.50841019785099,0.86,0.678,0.00188048548458559,"ENSG00000124942-AHNAK",7.48814597199455
4.55800595007364e-08,0.863203188471119,0.191,0.05,0.00263749014301011,"ENSG00000114541-FRMD4B",7.34122511222224
4.78916739209922e-08,0.420139978523929,0.717,0.514,0.00277125171143822,"ENSG00000082074-FYB",7.31973998312976
4.90000493123306e-08,-0.672387509763845,0.904,0.913,0.00283538785345801,"ENSG00000198712-MT-CO2",7.30980348290899
5.49916145217429e-08,0.329263348576078,0.375,0.161,0.00318208977430065,"ENSG00000117713-ARID1A",7.25970352949814
6.40575538599346e-08,0.456769318053199,0.526,0.322,0.00370669035410512,"ENSG00000122862-SRGN",7.1934296495844
6.42258533589813e-08,0.48484907508526,0.165,0.037,0.00371642900461745,"ENSG00000119508-NR4A3",7.19229011661966
6.8820179338274e-08,0.929478516837456,0.294,0.121,0.00398227967740922,"ENSG00000125740-FOSB",7.16228419998708
8.93123322698846e-08,0.389409921292416,0.801,0.607,0.00516805810679687,"ENSG00000149273-RPS3",7.04908856947679
1.1379961447996e-07,0.71792336058152,0.504,0.297,0.00658501469188288,"ENSG00000150991-UBC",6.94385920920202
1.50441023727589e-07,0.479602283638325,0.276,0.111,0.00870526983799693,"ENSG00000119596-YLPM1",6.8226337199337
1.59396904092098e-07,0.488422748995609,0.643,0.455,0.00922350185528923,"ENSG00000171223-JUNB",6.79752011800123
1.594437848087e-07,0.535333584476333,0.423,0.22,0.00922621460795545,"ENSG00000153201-RANBP2",6.79739240508765
1.86681048145674e-07,0.271090244744024,0.467,0.26,0.0108022988509494,"ENSG00000168175-MAPK1IP1L",6.72889976937567
2.37543123003934e-07,0.56403077136741,0.327,0.155,0.0137454328126227,"ENSG00000027869-SH2D2A",6.62425753811228
2.59243952359466e-07,0.575318568249783,0.375,0.189,0.0150011513032805,"ENSG00000196352-CD55",6.58629136603843
3.47843294429158e-07,0.479778087608365,0.371,0.189,0.0201279522321432,"ENSG00000055483-USP36",6.45861636436465
3.5284962266687e-07,0.309179581117904,0.357,0.164,0.0204176434156184,"ENSG00000164190-NIPBL",6.45241034265888
4.7553908250897e-07,-1.07387014868992,0.632,0.712,0.0275170690093816,"ENSG00000160654-CD3G",6.32281378446687
5.44818952975583e-07,0.47623046097749,0.61,0.402,0.0315259487139321,"ENSG00000132002-DNAJB1",6.26374779274443
6.0274223282601e-07,0.503906752630831,0.202,0.065,0.034877679302477,"ENSG00000160588-MPZL3",6.21986837740433
7.26657226884055e-07,0.438521976112137,0.301,0.133,0.0420480204336458,"ENSG00000166128-RAB8B",6.13867040286569
7.60296232185766e-07,0.467481987958194,0.404,0.207,0.0439945414754294,"ENSG00000145012-LPP",6.11901716174919
1.05348525227479e-06,0.583050150508017,0.199,0.068,0.0609599241228808,"ENSG00000142178-SIK1",5.97737153969566
1.14741022751365e-06,0.397072924558609,0.158,0.04,0.0663948928150774,"ENSG00000028310-BRD9",5.94028128332499
1.16078926057274e-06,0.516492439385026,0.562,0.356,0.0671690705630414,"ENSG00000067225-PKM",5.93524661857133
1.26158159605557e-06,0.47506537880405,0.57,0.381,0.0730014190557556,"ENSG00000152518-ZFP36L2",5.89908465511813
1.33422956631993e-06,0.856200300955542,0.353,0.192,0.0772051938551026,"ENSG00000135046-ANXA1",5.87476943967855
1.39697988009894e-06,0.5981451290195,0.706,0.533,0.080836240761925,"ENSG00000157514-TSC22D3",5.85480984873545
1.4043161106124e-06,0.608690695681639,0.202,0.071,0.0812607517405868,"ENSG00000164442-CITED2",5.85253512180587
1.66655360036715e-06,0.442073562285444,0.301,0.139,0.0964351240852449,"ENSG00000105835-NAMPT",5.77818071382503
1.97887417765003e-06,0.339623492219966,0.743,0.529,0.114507554289719,"ENSG00000229124-VIM-AS1",5.70358181857251
2.16290631621633e-06,0.438912841633751,0.761,0.619,0.125156573987858,"ENSG00000111640-GAPDH",5.66496229111635
2.41943745258139e-06,0.380392644808898,0.544,0.356,0.140000748193622,"ENSG00000101109-STK4",5.61628560081301
2.48333387254742e-06,0.377003603573734,0.647,0.452,0.143698114534956,"ENSG00000133639-BTG1",5.60496488767163
2.58074344132625e-06,-0.925143982361716,0.945,0.929,0.149334719232343,"ENSG00000169045-HNRNPH1",5.58825516769731
2.59559336313552e-06,0.746220789908153,0.191,0.065,0.150194009957837,"ENSG00000198589-LRBA",5.58576334499152
2.64356702281029e-06,0.415327975388284,0.169,0.053,0.152970005774918,"ENSG00000099860-GADD45B",5.57780967437645
2.85729350550151e-06,0.556390224914456,0.298,0.139,0.165337288695845,"ENSG00000160796-NBEAL2",5.54404514594115
3.04913775408114e-06,0.336970553767536,0.176,0.056,0.176438356139905,"ENSG00000147138-GPR174",5.51582295461597
3.05006616874728e-06,0.568939051786374,0.379,0.204,0.176492078854561,"ENSG00000184588-PDE4B",5.51569073887941
3.12341920728521e-06,0.264953274772342,0.235,0.09,0.180736652429559,"ENSG00000161405-IKZF3",5.50536972336099
3.177742786525e-06,0.576220861798592,0.496,0.31,0.183880086342269,"ENSG00000168066-SF1",5.49788125845451
3.55603216072451e-06,0.376720958960114,0.423,0.245,0.205769800980324,"ENSG00000023445-BIRC3",5.44903431992847
3.68725113551291e-06,0.440936090280137,0.824,0.666,0.213362786956454,"ENSG00000026025-VIM",5.43329728196178
3.96390013883354e-06,0.624429736578564,0.254,0.111,0.229371081533603,"ENSG00000074755-ZZEF1",5.40187729507976
4.09180453771866e-06,0.568959313639693,0.257,0.111,0.23677226957509,"ENSG00000006114-SYNRG",5.38808512036987
4.11014452596429e-06,0.630795972412498,0.316,0.158,0.237833512994923,"ENSG00000183508-FAM46C",5.38614290665794
4.1894047178432e-06,0.345093811408696,0.5,0.313,0.242419903997997,"ENSG00000273319-RP11-138A9.2",5.37784768255218
4.83483980675257e-06,0.259176771509616,0.114,0.022,0.279768005417738,"ENSG00000185338-SOCS1",5.31561791086659
4.91302343304559e-06,0.374428570937598,0.647,0.452,0.284292100953183,"ENSG00000133872-TMEM66",5.30865116445909
